Using winetricks 20190912 - sha256sum: a251311a6490ce546f5c9b450492be26ae8099517cc3ed8c50d6ef065be4ad0d with wine-4.14 and WINEARCH=win32
acreedbro                Assassin's Creed Brotherhood (Ubisoft, 2011)
algodoo_demo             Algodoo Demo (Algoryx, 2009) [downloadable]
alienswarm_steam         Alien Swarm (Steam) (Valve, 2010) [downloadable]
amnesia_tdd_demo         Amnesia: The Dark Descent Demo (Frictional Games, 2010)
aoe3_demo                Age of Empires III Trial (Microsoft, 2005) [downloadable]
avatar_demo              James Camerons Avatar: The Game Demo (Ubisoft, 2009)
bfbc2                    Battlefield Bad Company 2 (EA, 2010)
bioshock2_steam          Bioshock 2 (Steam) (2k, 2010) [downloadable]
bioshock2                Bioshock 2 (2K Games, 2010)
bioshock_demo            Bioshock Demo (2K Games, 2007) [downloadable]
blobby_volley            Blobby Volley (Daniel Skoraszewsky, 2000)
borderlands_steam        Borderlands (Steam, non-free) (2K Games, 2009) [downloadable]
bttf101                  Back to the Future Episode 1 (Telltale, 2011)
cim_demo                 Cities In Motion Demo (Paradox Interactive, 2010)
civ4_demo                Civilization IV Demo (Firaxis Games, 2005)
civ5_demo_steam          Civilization V Demo (Steam) (2K Games, 2010) [downloadable]
cnc_redalert3_demo       Command & Conquer Red Alert 3 Demo (EA, 2008)
cod1                     Call of Duty (Activision, 2003)
cod4mw_demo              Call of Duty 4: Modern Warfare (Activision, 2007)
cod5_waw                 Call of Duty 5: World at War (Activision, 2008)
cod_demo                 Call of Duty demo (Activision, 2003)
crayonphysics_demo       Crayon Physics Deluxe demo (Kloonigames, 2011) [downloadable]
crysis2                  Crysis 2 (EA, 2011)
csi6_demo                CSI: Fatal Conspiracy Demo (Ubisoft, 2010)
darknesswithin2_demo     Darkness Within 2 Demo (Zoetrope Interactive, 2010)
darkspore                Darkspore (EA, 2011)
dcuo                     DC Universe Online (EA, 2011)
deadspace2               Dead Space 2 (EA, 2011)
deadspace                Dead Space (EA, 2008)
demolition_company_demo  Demolition Company demo (Giants Software, 2010)
deusex2_demo             Deus Ex 2 / Deus Ex: Invisible War Demo (Eidos, 2003)
diablo2                  Diablo II (Blizzard, 2000)
digitanks_demo           Digitanks Demo (Lunar Workshop, 2011) [downloadable]
dirt2_demo               Dirt 2 Demo (Codemasters, 2009)
dragonage2_demo          Dragon Age II demo (EA/Bioware, 2011) [downloadable]
dragonage_ue             Dragon Age: Origins - Ultimate Edition (Bioware / EA, 2010)
dragonage                Dragon Age: Origins (Bioware / EA, 2009)
eve                      EVE Online Tyrannis (CCP Games, 2017) [downloadable]
fable_tlc                Fable: The Lost Chapters (Microsoft, 2005)
fifa11_demo              FIFA 11 Demo (EA Sports, 2010) [downloadable]
gta_vc                   Grand Theft Auto: Vice City (Rockstar, 2003)
hon                      Heroes of Newerth (S2 Games, 2018) [downloadable]
hordesoforcs2_demo       Hordes of Orcs 2 Demo (Freeverse, 2010)
kotor1                   Star Wars: Knights of the Old Republic (LucasArts, 2003)
lemonysnicket            Lemony Snicket: A Series of Unfortunate Events (Activision, 2004)
lhp_demo                 LEGO Harry Potter Demo [Years 1-4] (Travellers Tales / WB, 2010)
losthorizon_demo         Lost Horizon Demo (Deep Silver, 2010)
lswcs                    Lego Star Wars Complete Saga (Lucasarts, 2009)
luxor_ar                 Luxor Amun Rising (MumboJumbo, 2006)
masseffect2_demo         Mass Effect 2 (BioWare, 2010) [downloadable]
masseffect2              Mass Effect 2 (DRM broken on Wine) (BioWare, 2010)
maxmagicmarker_demo      Max & the Magic Marker Demo (Press Play, 2010) [downloadable]
mdk                      MDK (3dfx) (Playmates International, 1997)
menofwar                 Men of War (Aspyr Media, 2009)
mfsx_demo                Microsoft Flight Simulator X Demo (Microsoft, 2006) [downloadable]
mfsxde                   Microsoft Flight Simulator X: Deluxe Edition (Microsoft, 2006)
myth2_demo               Myth II demo 1.8.0 (Project Magma, 2011) [downloadable]
nfsshift_demo            Need for Speed: SHIFT Demo (EA, 2009) [downloadable]
oblivion                 Elder Scrolls: Oblivion (Bethesda Game Studios, 2006)
penpenxmas               Pen-Pen Xmas Olympics (Army of Trolls / Black Cat, 2007) [downloadable]
popfs                    Prince of Persia: The Forgotten Sands (Ubisoft, 2010)
rct3deluxe               RollerCoaster Tycoon 3 Deluxe (DRM broken on Wine) (Atari, 2004)
riseofnations_demo       Rise of Nations Trial (Microsoft, 2003)
ruse_demo_steam          Ruse Demo (Steam) (Ubisoft, 2010) [downloadable]
sammax301_demo           Sam & Max 301: The Penal Zone (Telltale Games, 2010)
sammax304_demo           Sam & Max 304: Beyond the Alley of the Dolls (Telltale Games, 2010)
secondlife               Second Life Viewer (Linden Labs, 2003-2011) [downloadable]
sims3_gen                The Sims 3: Generations (DRM broken on Wine) (EA, 2011)
sims3                    The Sims 3 (DRM broken on Wine) (EA, 2009)
simsmed                  The Sims Medieval (DRM broken on Wine) (EA, 2011)
singularity              Singularity (Activision, 2010)
splitsecond              Split Second (Disney, 2010)
spore_cc_demo            Spore Creature Creator trial (EA, 2008) [downloadable]
spore                    Spore (EA, 2008)
starcraft2_demo          Starcraft II Demo (Blizzard, 2010)
supermeatboy_steam       Super Meat Boy (Steam, non-free) (Independent, 2010) [downloadable]
theundergarden_demo      The UnderGarden Demo (Atari, 2010)
tmnationsforever         TrackMania Nations Forever (Nadeo, 2009) [downloadable]
torchlight               Torchlight - boxed version (Runic Games, 2009)
trainztcc_2004           Trainz: The Complete Collection: TRS2004 (Paradox Interactive, 2008)
trine_demo_steam         Trine Demo (Steam) (Frozenbyte, 2009) [downloadable]
trine_steam              Trine (Steam) (Frozenbyte, 2009) [downloadable]
tropico3_demo            Tropico 3 Demo (Kalypso Media GmbH, 2009)
twfc                     Transformers: War for Cybertron (Activision, 2010)
typingofthedead_demo     Typing of the Dead Demo (Sega, 1999)
ut3                      Unreal Tournament 3 (Midway Games, 2007)
wog                      World of Goo Demo (2D Boy, 2008) [downloadable]
wormsreloaded_demo_steam Worms Reloaded Demo (Steam) (Team17, 2010) [downloadable]
