Viewing cabinet: /home/austin/.cache/winetricks.bak/directx9/directx_feb2010_redist.exe
 File size | Date       Time     | Name
-----------+---------------------+-------------
   1347354 | 04.02.2010 10:21:18 | Apr2005_d3dx9_25_x64.cab
   1078962 | 04.02.2010 10:21:18 | Apr2005_d3dx9_25_x86.cab
   1397830 | 04.02.2010 10:21:18 | Apr2006_d3dx9_30_x64.cab
   1115221 | 04.02.2010 10:21:18 | Apr2006_d3dx9_30_x86.cab
    916430 | 04.02.2010 10:21:18 | Apr2006_MDX1_x86.cab
   4162630 | 04.02.2010 10:21:18 | Apr2006_MDX1_x86_Archive.cab
    179133 | 04.02.2010 10:21:20 | Apr2006_XACT_x64.cab
    133103 | 04.02.2010 10:21:20 | Apr2006_XACT_x86.cab
     87101 | 04.02.2010 10:21:20 | Apr2006_xinput_x64.cab
     46010 | 04.02.2010 10:21:20 | Apr2006_xinput_x86.cab
   1607358 | 04.02.2010 10:21:20 | APR2007_d3dx9_33_x64.cab
   1606039 | 04.02.2010 10:21:22 | APR2007_d3dx9_33_x86.cab
    698612 | 04.02.2010 10:21:20 | APR2007_d3dx10_33_x64.cab
    695865 | 04.02.2010 10:21:20 | APR2007_d3dx10_33_x86.cab
    195766 | 04.02.2010 10:21:22 | APR2007_XACT_x64.cab
    151225 | 04.02.2010 10:21:22 | APR2007_XACT_x86.cab
     96817 | 04.02.2010 10:21:22 | APR2007_xinput_x64.cab
     53302 | 04.02.2010 10:21:22 | APR2007_xinput_x86.cab
   1350542 | 04.02.2010 10:21:22 | Aug2005_d3dx9_27_x64.cab
   1077644 | 04.02.2010 10:21:24 | Aug2005_d3dx9_27_x86.cab
    182903 | 04.02.2010 10:21:24 | AUG2006_XACT_x64.cab
    137235 | 04.02.2010 10:21:24 | AUG2006_XACT_x86.cab
     87142 | 04.02.2010 10:21:24 | AUG2006_xinput_x64.cab
     46058 | 04.02.2010 10:21:26 | AUG2006_xinput_x86.cab
   1800160 | 04.02.2010 10:21:26 | AUG2007_d3dx9_35_x64.cab
   1708152 | 04.02.2010 10:21:26 | AUG2007_d3dx9_35_x86.cab
    852286 | 04.02.2010 10:21:26 | AUG2007_d3dx10_35_x64.cab
    796867 | 04.02.2010 10:21:26 | AUG2007_d3dx10_35_x86.cab
    198096 | 04.02.2010 10:21:26 | AUG2007_XACT_x64.cab
    153012 | 04.02.2010 10:21:24 | AUG2007_XACT_x86.cab
   1794084 | 04.02.2010 10:21:26 | Aug2008_d3dx9_39_x64.cab
   1464672 | 04.02.2010 10:21:26 | Aug2008_d3dx9_39_x86.cab
    867612 | 04.02.2010 10:21:26 | Aug2008_d3dx10_39_x64.cab
    849167 | 04.02.2010 10:21:26 | Aug2008_d3dx10_39_x86.cab
    121772 | 04.02.2010 10:21:26 | Aug2008_XACT_x64.cab
     92996 | 04.02.2010 10:21:26 | Aug2008_XACT_x86.cab
    271412 | 04.02.2010 10:21:26 | Aug2008_XAudio_x64.cab
    271038 | 04.02.2010 10:21:26 | Aug2008_XAudio_x86.cab
    919044 | 04.02.2010 10:21:26 | Aug2009_D3DCompiler_42_x64.cab
    900598 | 04.02.2010 10:21:28 | Aug2009_D3DCompiler_42_x86.cab
   3112111 | 04.02.2010 10:21:28 | Aug2009_d3dcsx_42_x64.cab
   3319740 | 04.02.2010 10:21:28 | Aug2009_d3dcsx_42_x86.cab
    930116 | 04.02.2010 10:21:30 | Aug2009_d3dx9_42_x64.cab
