Viewing cabinet: /home/austin/.cache/winetricks.bak/directx9/directx_Jun2010_redist.exe
 File size | Date       Time     | Name
-----------+---------------------+-------------
   1347354 | 02.06.2010 05:21:16 | Apr2005_d3dx9_25_x64.cab
   1078962 | 02.06.2010 05:21:16 | Apr2005_d3dx9_25_x86.cab
   1397830 | 02.06.2010 05:21:16 | Apr2006_d3dx9_30_x64.cab
   1115221 | 02.06.2010 05:21:16 | Apr2006_d3dx9_30_x86.cab
    916430 | 02.06.2010 05:21:18 | Apr2006_MDX1_x86.cab
   4162630 | 02.06.2010 05:21:18 | Apr2006_MDX1_x86_Archive.cab
    179133 | 02.06.2010 05:21:18 | Apr2006_XACT_x64.cab
    133103 | 02.06.2010 05:21:18 | Apr2006_XACT_x86.cab
     87101 | 02.06.2010 05:21:20 | Apr2006_xinput_x64.cab
     46010 | 02.06.2010 05:21:34 | Apr2006_xinput_x86.cab
   1607358 | 02.06.2010 05:21:36 | APR2007_d3dx9_33_x64.cab
   1606039 | 02.06.2010 05:21:38 | APR2007_d3dx9_33_x86.cab
    698612 | 02.06.2010 05:21:36 | APR2007_d3dx10_33_x64.cab
    695865 | 02.06.2010 05:21:36 | APR2007_d3dx10_33_x86.cab
    195766 | 02.06.2010 05:21:38 | APR2007_XACT_x64.cab
    151225 | 02.06.2010 05:21:38 | APR2007_XACT_x86.cab
     96817 | 02.06.2010 05:21:38 | APR2007_xinput_x64.cab
     53302 | 02.06.2010 05:21:40 | APR2007_xinput_x86.cab
   1350542 | 02.06.2010 05:21:40 | Aug2005_d3dx9_27_x64.cab
   1077644 | 02.06.2010 05:21:40 | Aug2005_d3dx9_27_x86.cab
    182903 | 02.06.2010 05:21:40 | AUG2006_XACT_x64.cab
    137235 | 02.06.2010 05:21:40 | AUG2006_XACT_x86.cab
     87142 | 02.06.2010 05:21:40 | AUG2006_xinput_x64.cab
     46058 | 02.06.2010 05:21:40 | AUG2006_xinput_x86.cab
   1800160 | 02.06.2010 05:21:42 | AUG2007_d3dx9_35_x64.cab
   1708152 | 02.06.2010 05:21:42 | AUG2007_d3dx9_35_x86.cab
    852286 | 02.06.2010 05:21:42 | AUG2007_d3dx10_35_x64.cab
    796867 | 02.06.2010 05:21:42 | AUG2007_d3dx10_35_x86.cab
    198096 | 02.06.2010 05:21:44 | AUG2007_XACT_x64.cab
    153012 | 02.06.2010 05:21:44 | AUG2007_XACT_x86.cab
   1794084 | 02.06.2010 05:21:44 | Aug2008_d3dx9_39_x64.cab
   1464672 | 02.06.2010 05:21:44 | Aug2008_d3dx9_39_x86.cab
    867612 | 02.06.2010 05:21:42 | Aug2008_d3dx10_39_x64.cab
    849167 | 02.06.2010 05:21:44 | Aug2008_d3dx10_39_x86.cab
    121772 | 02.06.2010 05:21:44 | Aug2008_XACT_x64.cab
     92996 | 02.06.2010 05:21:44 | Aug2008_XACT_x86.cab
    271412 | 02.06.2010 05:21:46 | Aug2008_XAudio_x64.cab
    271038 | 02.06.2010 05:21:46 | Aug2008_XAudio_x86.cab
    919044 | 02.06.2010 05:21:46 | Aug2009_D3DCompiler_42_x64.cab
    900598 | 02.06.2010 05:21:56 | Aug2009_D3DCompiler_42_x86.cab
   3112111 | 02.06.2010 05:21:56 | Aug2009_d3dcsx_42_x64.cab
   3319740 | 02.06.2010 05:21:56 | Aug2009_d3dcsx_42_x86.cab
    930116 | 02.06.2010 05:21:58 | Aug2009_d3dx9_42_x64.cab
    728456 | 02.06.2010 05:21:58 | Aug2009_d3dx9_42_x86.cab
    232635 | 02.06.2010 05:21:58 | Aug2009_d3dx10_42_x64.cab
    192131 | 02.06.2010 05:21:58 | Aug2009_d3dx10_42_x86.cab
    136301 | 02.06.2010 05:21:58 | Aug2009_d3dx11_42_x64.cab
    105044 | 02.06.2010 05:21:58 | Aug2009_d3dx11_42_x86.cab
    122408 | 02.06.2010 05:22:00 | Aug2009_XACT_x64.cab
     93106 | 02.06.2010 05:22:00 | Aug2009_XACT_x86.cab
    273264 | 02.06.2010 05:22:00 | Aug2009_XAudio_x64.cab
    272642 | 02.06.2010 05:22:00 | Aug2009_XAudio_x86.cab
   1357976 | 02.06.2010 05:22:00 | Dec2005_d3dx9_28_x64.cab
   1079456 | 02.06.2010 05:22:00 | Dec2005_d3dx9_28_x86.cab
   1571154 | 02.06.2010 05:22:00 | DEC2006_d3dx9_32_x64.cab
   1574376 | 02.06.2010 05:22:02 | DEC2006_d3dx9_32_x86.cab
    212807 | 02.06.2010 05:22:00 | DEC2006_d3dx10_00_x64.cab
    191720 | 02.06.2010 05:22:00 | DEC2006_d3dx10_00_x86.cab
    192475 | 02.06.2010 05:22:02 | DEC2006_XACT_x64.cab
    145599 | 02.06.2010 05:22:02 | DEC2006_XACT_x86.cab
     95576 | 30.03.2011 11:40:32 | DSETUP.dll
   1566040 | 30.03.2011 11:40:32 | dsetup32.dll
     44624 | 30.03.2011 11:40:32 | dxdllreg_x86.cab
    517976 | 30.03.2011 11:40:34 | DXSETUP.exe
     97152 | 30.03.2011 11:40:32 | dxupdate.cab
   1247499 | 02.06.2010 05:22:02 | Feb2005_d3dx9_24_x64.cab
   1013225 | 02.06.2010 05:22:02 | Feb2005_d3dx9_24_x86.cab
   1362796 | 02.06.2010 05:22:02 | Feb2006_d3dx9_29_x64.cab
   1084720 | 02.06.2010 05:22:04 | Feb2006_d3dx9_29_x86.cab
    178359 | 02.06.2010 05:22:10 | Feb2006_XACT_x64.cab
    132409 | 02.06.2010 05:22:10 | Feb2006_XACT_x86.cab
    194675 | 02.06.2010 05:22:12 | FEB2007_XACT_x64.cab
    147983 | 02.06.2010 05:22:12 | FEB2007_XACT_x86.cab
     54678 | 02.06.2010 05:22:12 | Feb2010_X3DAudio_x64.cab
     20713 | 02.06.2010 05:22:12 | Feb2010_X3DAudio_x86.cab
    122446 | 02.06.2010 05:22:14 | Feb2010_XACT_x64.cab
     93180 | 02.06.2010 05:22:14 | Feb2010_XACT_x86.cab
    276960 | 02.06.2010 05:22:14 | Feb2010_XAudio_x64.cab
    277191 | 02.06.2010 05:22:14 | Feb2010_XAudio_x86.cab
   1336002 | 02.06.2010 05:22:14 | Jun2005_d3dx9_26_x64.cab
   1064925 | 02.06.2010 05:22:16 | Jun2005_d3dx9_26_x86.cab
    180785 | 02.06.2010 05:22:16 | JUN2006_XACT_x64.cab
    133671 | 02.06.2010 05:22:16 | JUN2006_XACT_x86.cab
   1607774 | 02.06.2010 05:22:16 | JUN2007_d3dx9_34_x64.cab
   1607286 | 02.06.2010 05:22:16 | JUN2007_d3dx9_34_x86.cab
    699044 | 02.06.2010 05:22:16 | JUN2007_d3dx10_34_x64.cab
    698472 | 02.06.2010 05:22:16 | JUN2007_d3dx10_34_x86.cab
