Viewing cabinet: /home/austin/.cache/winetricks.bak/winxpsp3/WindowsXP-KB936929-SP3-x86-ENU.exe
 File size | Date       Time     | Name
-----------+---------------------+-------------
     30034 | 14.04.2008 00:16:20 | i386/1394bus.sy_
      6811 | 14.04.2008 00:10:52 | i386/4mmdat.sy_
     23666 | 14.04.2008 00:16:22 | i386/61883.sy_
     37246 | 14.04.2008 05:41:50 | i386/6to4svc.dl_
     54821 | 14.04.2008 05:41:50 | i386/aaclient.dl_
      1325 | 25.01.2008 20:27:30 | i386/aaclient.mu_
     49258 | 13.04.2008 22:06:02 | i386/ac97ali.sy_
     21126 | 13.04.2008 22:06:08 | i386/ac97via.sy_
     19613 | 14.04.2008 05:41:50 | i386/acadproc.dl_
     25989 | 14.04.2008 05:42:42 | i386/access.cp_
     46337 | 14.04.2008 05:42:12 | i386/accwiz.ex_
    159741 | 14.04.2008 05:41:50 | i386/acgenral.dl_
    157995 | 14.04.2008 05:41:50 | i386/aclayers.dl_
     62208 | 14.04.2008 05:41:50 | i386/aclua.dl_
     47252 | 14.04.2008 05:41:50 | i386/aclui.dl_
     91977 | 14.04.2008 00:06:36 | i386/acpi.sy_
     98217 | 14.04.2008 05:41:50 | i386/acspecfc.dl_
      1264 | 13.04.2008 21:16:34 | i386/actconn.ht_
       924 | 13.04.2008 21:16:32 | i386/actdone.ht_
      1325 | 13.04.2008 21:16:42 | i386/acterror.ht_
      1844 | 13.04.2008 21:16:32 | i386/activ.ht_
      1499 | 13.04.2008 21:16:42 | i386/activate.ht_
     76677 | 14.04.2008 05:41:50 | i386/activeds.dl_
      1015 | 13.04.2008 21:16:32 | i386/activerr.ht_
      2077 | 13.04.2008 21:16:32 | i386/activsvc.ht_
      1515 | 13.04.2008 21:16:34 | i386/actlan.ht_
      1677 | 14.04.2008 05:42:14 | i386/actmovie.ex_
     15833 | 13.04.2008 21:16:32 | i386/actshell.ht_
     28775 | 14.04.2008 05:41:50 | i386/actxprxy.dl_
      1853 | 13.04.2008 21:16:32 | i386/act_plcy.ht_
     55337 | 14.04.2008 05:41:50 | i386/acxtrnal.dl_
       387 | 13.04.2008 21:28:18 | i386/adcjavas.in_
